question,answer
投标需要提供银行保函，小微企业有哪些替代方案？,"投标需要提供银行保函，小微企业可以考虑以下替代方案：
1. **电子保函平台**：“湖北公共资源交易云”→在线购买（费率0.8%）；
2. **政策型担保**：武汉光谷企业凭 科技型中小企业证书 免保证金；
3. **应急通道**：向 湖北中小企业融资担保有限公司 申请 见索即付保函（1个工作日出具）。"
生产车间粉尘检测必须做吗？多久做一次？,"生产车间粉尘检测是强制必须做的，频率如下：
1. 粉尘企业 每半年检测1次（取得CMA资质报告）；
2. 噪音≥80分贝企业 每季度检测（检测点覆盖所有岗位）。"
我是一家新成立的餐饮店，首次申请经营，请问关于费用方面有什么优惠政策吗？,您好！作为新手店长，首次申请经营真是个好消息！关于费用方面，政府为了支持新店发展，有一个非常好的政策：**前3天的费用是免收的！** 这也就是说，您从开始营业算起，前三天是不用缴纳任何费用的，可以好好利用这段缓冲期，做好开业准备，吸引第一批顾客！祝您的餐饮店生意兴隆！
我在工程项目现场，想了解一下施工现场的围挡有什么具体要求吗？,您好！作为办事群众，了解施工现场要求很关键。 关于您提到的施工现场围挡，是有一些明确要求的。 首先，材质上必须采用**黄色注水围挡**，这种围挡比较醒目，能有效地起到安全警示作用。 其次，高度上也有规定，要求**高度必须大于等于1.8米**，这样可以确保施工现场的安全封闭，防止无关人员进入。 请您务必关注这些细节，确保施工安全合规。
我们是湖北省的一家小微企业，想了解一下工会经费全额返还的政策，具体是怎么操作的呢？,您好！作为湖北省的小微企业主，了解到工会经费全额返还政策真是太好了！ 这项政策是实实在在为企业减负的好举措。 首先，要满足几个条件：年营收额要在**3000万元人民币以下**，而且企业必须**建立工会满1年**，同时**工会经费也要按时足额缴纳**。 满足这些条件后，操作非常方便，您只需登录**湖北省总工会官网**，找到页面上的**“小微返还”**入口，点击进入后，系统会**自动匹配您的缴费记录**，核实信息后，工会经费就会返还到您的账户啦！
我是一家小微企业工会的财务人员，最近发现我们公司之前缴纳的工会经费好像没有按时返还，请问应该如何处理呢？,您好！作为工会财务人员，及时发现并解决问题非常重要。 如果您发现工会经费没有按时返还，不要着急，我们有专门的渠道可以帮您解决。 湖北省总工会为了保障企业权益，设立了**12351工会热线**，您可以直接拨打这个电话反映情况。 为了更高效地帮您核实和解决问题，请您在通话时**准备好工会经费的缴费凭证截图**，这样工作人员就能快速定位问题并帮助您解答。 通常情况下，经核实确属错误未返的，会在**3天内将经费退返至企业的对公账户**。
我是一家小型物流公司的负责人，最近有客户反映说，物流公司丢了快件，但是物流公司只愿意赔偿运费，请问这种情况我们有什么追偿的办法吗？,您好！作为物流公司负责人，遇到货物丢失的情况确实让人头疼。 好的消息是，根据最新的政策，您并非只能接受赔偿运费。 我们可以从法律层面来找依据。 可以**援引《民法典》第832条**，这条法律规定了承运人对运输过程中货物的毁损、灭失承担赔偿责任。 您可以依据这条法律，向物流公司**主张按照货物的实际损失进行赔偿**。 当然，前提是要提供**货物价值的证明**，比如购买发票、合同等，这样才能更好地维护您的权益，获得合理的赔偿。
我是一名货运司机，长期跑湖北的路线，最近也听说了湖北省道路货运监管平台，如果遇到物流公司丢件的情况，想通过这个平台投诉，请问这个平台能帮我做什么呢？,您好！作为经常跑湖北线路的货运司机，了解湖北省的道路货运政策非常重要。 针对您提到的物流公司丢件问题，湖北省道路货运监管平台确实可以为您提供帮助，这是湖北省为了维护货运行业的健康发展，专门设立的一个维权渠道。 如果您在湖北境内遇到物流公司丢件的情况，可以通过平台进行**在线投诉**。 平台核实情况后，会采取措施，例如**强制冻结涉事物流公司的保证金**，以此来保障您的合法权益，督促物流公司尽快解决您的问题，争取您的合理赔偿。
我们公司是给合作工厂提供模具的，最近合作工厂突然倒闭了，我们担心模具无法取回，请问有什么办法可以快速确权并取回模具吗？,您好！作为模具供应商，遇到合作工厂倒闭的情况确实非常棘手。 为了尽快确权并取回模具，您可以采取以下应急方案。 首先，**携带与工厂签订的《模具保管协议》**以及**采购发票的复印件**，找到工厂的**管理人**，与他们沟通，争取他们的理解和配合，**请他们在您的模具清单上签字确认**，完成现场确权。  另外，如果您在**武汉经开区**，可以尝试咨询一下当地的试点政策，看看是否可以申请**“模具确权绿色通道”**，据说通过这个通道，可以**在24小时内完成司法确权**，效率会更高，也能更好地保障您的模具权益。
我是湖北一家公司的办事人员，公司想在省内跨区经营，需要办理“一照多址”的备案，请问具体流程是怎样的呢？,您好！作为公司办事人员，了解“一照多址”备案流程对您来说很重要。 为了方便您操作，我来详细介绍一下具体步骤。 首先，您需要**登录“湖北省市场监管融平台”**，这个平台是办理相关业务的统一入口。 登录后，在首页找到并**选择“一照多址”备案**这个选项。 进入备案页面后，您需要**上传新增经营场所的证明材料**，比如**租赁合同**或者**产权证**等，证明您有合法的经营场所。 上传材料并提交审核，通过后，系统会**自动生成备案通知书**，这个通知书**与营业执照具有同等法律效力**，您就可以凭证开展跨区经营活动了！武汉市和襄阳市的试点企业，还**免于实地核查**，流程更简化啦！
我们正准备参与湖北省某个老旧小区的改造项目，听说对分包资质有特定要求，请问具体有哪些资质是我们必须具备的呢？,您好！作为参与老旧小区改造项目的公司，了解分包资质要求至关重要。 针对您关心的分包资质，我来详细解读一下。 首先，核心的资质要求是**具备建筑工程总承包三级以上资质**，这意味着您公司必须具备相当的工程建设实力。 其次，安全生产许可证也必须在**有效期内**，这是保障施工现场安全的必要条件。  此外，湖北本地有项特色政策，欢迎**本地中小企业组成联合体进行投标**，只要**联合体的总资质符合要求即可**，这为本地企业提供了更多的机会，也鼓励了中小企业间的合作。
我们公司之前办理了简易注销，但是听说注销后债权人还有追偿的权利，请问湖北的简易注销政策在这方面是如何规定的呢？,您好！作为公司负责人，了解简易注销后的债权人追偿问题非常重要。  根据《湖北简易注销规程》第15条的规定，公司在办理简易注销时，需要进行公示，公示期为**20天**。 在这20天的公示期内，如果债权人没有提出异议，那么公示期满后，**债权人就丧失了追偿的权利**。  当然，也存在例外情况，如果公司存在**隐匿债务**的行为，并且被法院判决需要承担责任，那么**股东仍然需要在认缴出资的范围内承担相应的责任**。 需要注意的是，简易注销是不可逆的，一旦完成注销，公司主体资格就终止了，请务必谨慎操作。
中小企业向机关事业单位提供货物、工程、服务后，如果款项没有按时支付，中小企业有哪些权利？,"根据《中小企业款项信息》文档，中小企业如果向机关事业单位提供货物、工程、服务后，款项没有按时支付，中小企业有权：
1. 了解机关事业单位的预算执行情况，确保采购行为符合批准的预算。
2. 对机关事业单位要求施工单位对政府投资项目垫资建设的行为进行投诉。
3. 如果机关事业单位使用财政资金从中小企业采购货物、工程、服务，未按照批准的预算执行，或者要求施工单位对政府投资项目垫资建设，可以依据法律、行政法规和国家有关规定追究机关事业单位的责任。"
大型企业如果在企业年度报告中没有公示逾期尚未支付给中小企业的款项信息，会有什么后果？,根据《中小企业款项信息》文档，如果大型企业违反本条例，未按照规定在企业年度报告中公示逾期尚未支付中小企业款项信息或者隐瞒真实情况、弄虚作假的，将由市场监督管理部门依法处理。
国有大型企业在与中小企业进行交易时，是否可以要求必须以审计机关的审计结果作为结算依据？,根据《中小企业款项信息》文档，国有大型企业没有合同约定或者法律、行政法规依据，是不能要求以审计机关的审计结果作为结算依据的。如果违反了这一规定，将会由其主管部门责令改正；如果拒不改正，会对直接负责的主管人员和其他直接责任人员依法给予处分。
使用财政资金的团体组织在采购货物、工程、服务并支付中小企业款项时，应该遵循什么规定？,根据《中小企业款项信息》文档，部分或者全部使用财政资金的团体组织在采购货物、工程、服务并支付中小企业款项时，应该参照本条例对机关、事业单位的有关规定执行。
国家为了支持民营节能环保企业健康发展，在市场环境方面采取了哪些措施？,"根据《关于营造更好发展环境 支持民营节能环保企业健康发展的实施意见》，国家为了支持民营节能环保企业健康发展，在市场环境方面采取的措施包括：
1. 进一步开放重点行业市场，在石油、化工、电力、天然气等重点行业和领域，进一步引入市场竞争机制，放开节能环保竞争性业务，积极推行合同能源管理和环境污染第三方治理等模式。
2. 持续完善招投标机制，倡导质量优先的评标原则，鼓励适度增加技术标权重，严防恶性低价竞争，确保招投标活动中不得设置影响民营企业准入的限制性规定，不得设置与节能环保业务能力无关的企业规模门槛，不得设置明显超过项目需求的业绩门槛，各地不得以签署战略性合作协议等方式为特定企业在招投标中谋取竞争优势，不得设置与企业性质挂钩的行业准入、资质标准等。"
国家在政策支持方面，如何稳定普惠民营节能环保企业的发展？,"根据《关于营造更好发展环境 支持民营节能环保企业健康发展的实施意见》，国家在政策支持方面，稳定普惠民营节能环保企业的发展的措施包括：
1. 鼓励民营节能环保企业参与补短板强弱项工程建设，支持其参与医疗废弃物处理处置、污水垃圾处理等工程建设，为常态化疫情防控提供有力保障。
2. 贯彻落实好现行税收优惠政策，落实好环境保护和节能节水项目企业所得税、资源综合利用企业所得税和增值税、节能节水和环境保护专用设备企业所得税，以及合同能源管理、污染第三方治理等税收优惠政策，继续按照规定实行便利化的税收优惠办理方式，方便广大企业享受税收优惠。"
金融机构在支持民营节能环保企业绿色发展方面可以采取哪些措施？,"根据《关于营造更好发展环境 支持民营节能环保企业健康发展的实施意见》，金融机构在支持民营节能环保企业绿色发展方面可以采取的措施包括：
1. 将环境、社会、治理要求纳入业务流程，提升对民营节能环保企业的绿色金融专业服务水平，大力发展绿色融资。
2. 积极发展绿色信贷，加强就国家重大节能环保项目的信息沟通，积极对符合条件的项目加大融资支持力度。
3. 支持符合条件的民营节能环保企业发行绿色债券，统一国内绿色债券界定标准，发布与《绿色产业指导目录(2019年版)》相一致的绿色债券支持项目目录。
4. 拓宽节能环保产业增信方式，积极探索将用能权、碳排放权、排污权、合同能源管理未来收益权、特许经营收费权等纳入融资质押担保范围。"
国家在提升民营节能环保企业的经营水平方面有哪些鼓励和支持政策？,"根据《关于营造更好发展环境 支持民营节能环保企业健康发展的实施意见》，国家在提升民营节能环保企业的经营水平方面鼓励和支持的政策包括：
1. 鼓励民营节能环保企业提升绿色技术创新能力，加大对民营企业绿色技术创新的支持力度，支持民营企业独立或联合承担国家重大科技专项、国家重点研发计划支持的绿色技术研发项目。
2. 混合所有制改革中，若未规定、也未与科研人员约定奖励、报酬方式和数额的，对企业的发明人或研发团队以技术转让、许可或作价投资方式转化职务绿色技术创新成果的，参照《中华人民共和国促进科技成果转化法》有关规定给予奖励和报酬。
3. 发挥国家科技成果转化引导基金的作用，遴选一批民营企业重点环保技术创新成果支持转化应用，引导各类天使投资、创业投资基金加大对民营节能环保企业的投入。"
如果机关事业单位在支付中小企业款项方面存在违规行为，例如未按批准预算执行或要求垫资建设，应该承担什么责任？,根据《中小企业款项信息》文档，机关事业单位如果使用财政资金从中小企业采购货物、工程、服务，未按照批准的预算执行，或者要求施工单位对政府投资项目垫资建设，将依照法律、行政法规和国家有关规定追究责任。
《关于营造更好发展环境 支持民营节能环保企业健康发展的实施意见》的目的是什么？,根据《关于营造更好发展环境 支持民营节能环保企业健康发展的实施意见》，该文件的目的是深入贯彻习近平总书记在民营企业座谈会上的重要讲话精神，落实《中共中央国务院关于营造更好发展环境支持民营企业改革发展的意见》，统筹推进疫情防控和经济社会发展工作，进一步优化节能环保领域市场营商环境，保障民营企业公平公正参与竞争，推动民营节能环保企业健康发展。
我是一家小型企业，想参与政府部门的采购项目，请问对于专门面向中小企业采购的比例，文件里是怎么规定的？,您好！很高兴为您解答。根据文件规定，对于专门面向中小企业采购的比例，是这样要求的：\n1. 对于200万元以上的货物和服务项目，以及400万元以上的工程项目，如果适宜由中小企业提供，预留该部分采购项目预算总额的比例，原来是30%以上，现在提高到40%以上。\n2. 在这预留的40%以上预算中，预留给小微企业的比例不低于60%。\n这个比例要求，采购人要在政府采购文件及公告中明确列示出来，确保您能够清楚地看到。希望这个解答对您有帮助！
我们是微型企业，非常关心政府采购的政策，请问文件中针对像我们这样的微型企业，在价格评审方面有什么优惠措施吗？,您好！针对微型企业，政府采购确实有更优惠的价格评审措施。文件规定：货物服务采购项目给予小微企业的价格扣除优惠，由之前的6%—10%提高到了10%—20%。也就是在价格评审时，会按照这个更高的幅度给您扣除，增加您的竞争优势。这个优惠幅度，采购人也要在政府采购文件及公告中列示出来，确保您能了解并享受到政策优惠。
我是一家大型企业的采购经理，我们想和小型企业组成联合体参与政府采购，请问价格评审优惠幅度有什么变化？,您好！对于大中型企业与小微企业组成联合体或者大中型企业向小微企业分包的情况，文件也调整了价格评审优惠幅度。由之前的2%—3%提高到了4%—6%。这意味着，组成联合体或者分包给小微企业，您可以享受到更高的价格评审优惠。同样的，这个优惠幅度也要在政府采购文件及公告中列示，确保政策透明公开。
请问这个新的价格评审优惠政策，是从什么时候开始正式执行的呢？,您好！新的价格评审优惠政策，是自2022年7月1日开始正式执行的。具体来说，从2022年7月1日起，发布采购公告或者发出采购邀请的货物服务采购项目，就要按照文件规定的新的评审优惠幅度来执行。请留意采购公告发布的时间，以便知晓是否适用新的优惠政策。
作为采购人，我们希望降低中小企业参与政府采购的门槛，请问文件中给出了哪些具体的建议？,您好！文件中给出了降低中小企业参与政府采购门槛的具体建议，主要有以下几点：\n1. **清理妨碍公平竞争的规定和做法：**  要对照《湖北省政府采购负面清单》，持续清理那些不公平的规定。\n2. **合理划分采购包：** 对于体系复杂、规模较大，中小企业无法承担的项目，可以合理划分采购包，让中小企业能够参与到部分包的投标中。\n3. **允许组成联合体或分包：** 可以允许大企业与中小企业组成联合体，或者大企业向中小企业分包，特别是把安装、运维、维修等后续服务交给中小企业承担。这样做，既能保证项目完成，又能扶持中小企业发展。
想了解一下，为了确保政府采购政策真正落实到位，文件中要求将哪些内容编入采购文件，又有哪些内容要嵌入到管理系统中呢？,为了确保政府采购政策落实到位，文件要求将以下内容编入采购文件并嵌入管理系统：\n1. **采购文件中要编入的内容：**  要在工程建设项目示范文本中增加落实政府采购促进中小企业发展政策所需满足的资格要求、价格评审优惠、政府采购合同融资等内容。这意味着，采购文件中要明确体现支持中小企业的各项措施。\n2. **管理系统中要嵌入的内容：**  要将促进中小企业发展的政府采购政策要求内嵌于“湖北省政府采购管理系统”、“中国湖北政府采购网”以及各级公共资源电子交易系统。这样可以实现政府采购各个环节，包括招标（采购）文件编制、公告、评审、结果公告等全流程全面落实政府采购政策要求，确保政策执行的规范性和有效性。
请问，对于政府采购工程建设项目的政策执行情况，是如何进行监督的呢？,您好！对于政府采购工程建设项目的政策执行情况，是依法进行监督的。具体来说，是按照《中华人民共和国招标投标法实施条例》的要求，由相关部门对实行招标投标的政府采购工程建设项目，监督其政府采购政策执行情况。同时，文件也要求及时将修订示范文本、调整完善评标制度等规定和做法、升级改造公共资源电子交易系统等工作落实情况报省财政厅，以便进行跟踪和考核。
采购人作为政府采购促进中小企业发展政策落实的责任主体，需要承担哪些责任呢？,采购人是政府采购促进中小企业发展政策落实的责任主体，需要承担以下责任：\n1. **认真学习和落实政策：** 要认真落实《政府采购促进中小企业发展管理办法》、《湖北省财政厅湖北省经济和信息化厅关于进一步加强政府采购促进中小企业发展的通知》以及本通知的规定。\n2. **在采购项目中积极运用政策：** 在政府采购货物、工程和服务项目中，要坚持公开公正、公平竞争的原则，积极运用政府采购促进中小企业发展政策。\n3. **叠加运用其他政府采购政策：** 要叠加运用政府采购支持绿色发展、政府采购合同融资等政策，形成政策合力。\n4. **加大支持中小企业力度：** 通过以上措施，加大支持中小企业纾困解难的力度，助力经济平稳健康发展。采购人要确保在各个环节都贯彻政策要求，切实为中小企业参与政府采购创造有利条件。
想了解关于“将支持政策编入采购文件、嵌入管理系统”这部分的具体流程，文件中是如何描述的？,关于“将支持政策编入采购文件、嵌入管理系统”的流程，文件中描述了以下几个关键步骤：\n1. **调整完善评标制度等规定和做法：**  要对现有的评标制度等规定和做法进行调整和完善，确保新的政策能够顺利实施。\n2. **修订工程建设项目示范文本：**  在工程建设项目示范文本中增加落实政府采购促进中小企业发展政策所需满足的资格要求、价格评审优惠、政府采购合同融资等内容。\n3. **调整完善评标制度等规定和做法：**  进一步规范评标过程，确保政策在评标环节得到落实。\n4. **升级改造公共资源电子交易系统：**  将促进中小企业发展的政府采购政策要求内嵌于“湖北省政府采购管理系统”、“中国湖北政府采购网”以及各级公共资源电子交易系统。通过系统嵌入，实现政府采购货物、工程和服务招标（采购）文件编制、招标（采购）公告、评审、结果公告等环节全流程全面落实政府采购政策要求。这个流程旨在通过技术手段，将政策要求固化到采购流程中，确保政策的有效执行。
为了确保政府采购促进中小企业发展政策取得实效，文件中提到了哪些保障措施？,为了确保政府采购促进中小企业发展政策取得实效，文件中提到了以下保障措施：\n1. **提高政治站位和思想认识：** 各地、各部门要切实提高政治站位，切实提高思想认识，从稳住经济大盘、深化推进政府采购制度改革、推动湖北经济高质量发展的高度来认识这项工作的重要性。\n2. **加强组织领导：** 要切实加强组织领导，于2022年6月30日前制定具体实施方案，确保政策落实到位。\n3. **密切跟踪督促和监督检查：**  各级财政部门要会同公共资源交易综合监督管理机构密切跟踪督促政策实施情况，加强监督检查考核评价，确保政策取得实效。\n4. **严肃问责和督促整改：** 对政策落实不力、效果不实、执行缓慢的地方和单位，省财政厅会同省公共资源交易监督管理局将采取约谈、书面提醒、现场督办、通报等方式及时纠正、督促整改。这些措施旨在从组织、监督、问责等多个层面，保障政策的有效实施，确保政策能够真正惠及中小企业。
政府在支持像我这样的小型企业获得融资方面有哪些新的举措？,1. 政府正在支持构建省级再担保平台，并已筹措50亿元资本金来壮大省再担保集团公司。       2. 政府也在支持做大做强市州县担保机构，并改进和完善相关资金管理，以更好地支持全省担保体系建设和中小实体发展。       3. 鼓励有条件的市州县政府性融资担保机构共同发起成立担保集团，构建区域性担保合作体系，这都将为小型企业提供更多的融资担保渠道。
我是一家制造业的小企业主，请问增值税改革对我的企业有什么影响？,1. 从2018年5月1日起，制造业等行业增值税税率从17%降至16%。       2. 如果您的年销售额在500万元以下，您可以选择登记为小规模纳税人，享受更简单的计税方式。       3. 如果您是装备制造等先进制造业、研发等现代服务业或电网企业，在一定时期内未抵扣完的进项税额可以一次性退还。
我经营着一家小型餐馆，年应纳税所得额不到50万元，所得税方面有什么优惠政策？,1. 自2017年1月1日至2019年12月31日，年应纳税所得额低于50万元（含50万元）的小型微利企业，其所得减按50%计入应纳税所得额。       2. 在此基础上，您还需要按20%的税率缴纳企业所得税。这意味着您的实际税率只有10%。
我是一家科技型中小企业，研发费用税前加计扣除比例提高了，具体怎么操作？,1. 自2017年1月1日至2019年12月31日，科技型中小企业研发费用税前加计扣除比例提高至75%。       2. 如果您是科技型中小企业，那么在计算企业所得税时，可以将实际发生的研发费用，在据实扣除的基础上，再按照实际发生额的75%在税前加计扣除。       3. 形成无形资产的，在上述期间按照无形资产成本的175%在税前摊销。
我公司目前享受的一些税费优惠政策听说要到期了，请问有哪些政策是延长了有效期的？,1. 企业地方教育附加征收率继续按1.5%执行，延长至2020年12月31日。       2. 物流企业自有的大宗商品仓储设施用地减半计征城镇土地使用税，延长至2019年12月31日。       3. 金融机构农户小额贷款利息收入免征增值税，且优惠政策范围扩大到所有合法合规经营的小额贷款公司，至2019年12月31日。       4. 对高校毕业生、就业困难人员、退役士兵等重点群体创业就业，按规定扣减增值税、城市维护建设税、教育费附加和个人（企业）所得税，至2019年12月31日。
我公司去年捐赠了一笔钱给希望小学，所得税方面有什么好处？,1. 企业发生的公益性捐赠支出，在年度利润总额12%以内的部分，准予在计算应纳税所得额时扣除。       2. 如果您公司的捐赠超过了年度利润总额12%的部分，准予结转以后3年内在计算应纳税所得额时扣除。       3. 这意味着您可以在未来三年内继续用超出部分的捐赠额来抵减企业所得税。
我们公司是工业企业，印花税核定征收计税金额比例下调，具体下调了多少？,1. 自2018年5月1日起，实行印花税核定征收方式的工业企业的购销金额，印花税核定征收计税金额比例由现行的70%下调至50%。       2. 其他行业如商业企业、货物运输企业、仓储保管企业、加工承揽企业，其印花税核定征收计税金额比例也都有所下调，具体请查看相关政策文件。
我们公司开采的是低品位矿，资源税有什么优惠政策？,1. 自2017年7月1日至2019年6月30日，对鼓励利用的低品位矿提取的矿产品，资源税减征50%。       2. 同时，对鼓励利用的尾矿提取的矿产品，资源税也减征50%。       3. 对鼓励利用废石、废渣、废水、废气提取的矿产品，免征资源税。
我们公司今年招录了35名员工，之前享受的残疾人就业保障金免征政策还适用吗？,1. 自2017年4月1日起，残疾人就业保障金免征范围调整为在职职工总数30人（含）以下的企业。       2. 工商注册登记未满3年、在职职工总数30人（含）以下的企业，可在剩余时期内按规定免征残疾人就业保障金。       3. 由于您的公司有35名员工，超过了30人的免征范围，可能不再适用免征政策。
最近专利费用有什么变化吗？对我们企业有什么好处？,1. 自2018年8月1日起停征专利登记费。       2. 自2018年起至2020年，对每年缴纳有效期6年以上发明专利的年费超过10万元（含）的企业，给予总额50%的补助。       3. 对当年获批专利权质押贷款的企业给予贴息，贴息额为以发放贷款同期银行基准利率计算的利息总额的50%，每项或每家企业贴息金额不超过50万元。       4. 对在湖北实施专利转化并产生一定经济效益的企业，给予合同成交额20%的补助，每笔或每家企业补助金额不超过30万元。
自2018年5月1日起，湖北省哪些政府性基金被暂停收取？,自2018年5月1日起，湖北省暂停收取风景名胜资源有偿使用费。
湖北省为降低企业成本，对国有资产产权交易服务费标准进行了怎样的调整？,湖北省为降低企业成本，将国有资产产权交易服务费标准降低了10%以上。
湖北省明确禁止收取或变相收取哪些已经取消的费用？,湖北省明确禁止以更名等方式收取或变相收取地震安全评价收费、房地产档案服务费、城市建设工程竣工档案资料保管费、新建建筑物防雷装置检测费等已经取消的费用。
湖北省在提高行政服务效能方面，聚焦了哪些重点领域？,湖北省在提高行政服务效能方面，聚焦了不动产登记、工程建设项目审批、企业开办等重点领域。
湖北省在清理规范中介服务方面，将采取哪些措施？,湖北省在清理规范中介服务方面，将再取消一批行政审批中介服务事项和证明材料，进一步完善行政审批前置中介服务收费行为规范。同时，将清理公布保留为省级行政审批必要条件的中介服务事项清单，全面推广应用行政审批中介服务管理平台，建立健全中介服务网上竞价和信用评价体系。
湖北省在推广建设工程领域“多测合一”方面，有哪些具体措施？,湖北省在推广建设工程领域“多测合一”方面，对投资项目建设工程审批涉及的土地测绘、规划测绘等服务实行“多测合一”，统一测绘、共享成果。同时，鼓励建设工程领域中介机构有序竞争，引导中介机构降低建设项目的规划测绘、地籍测绘、权属调查服务和桩基检测服务收费标准。
湖北省为清理和规范涉企保证金，将采取哪些措施？,湖北省为清理和规范涉企保证金，将严格执行国务院和省人民政府公布的涉企保证金目录清单，清单之外的涉企保证金项目一律取消。同时，加大对已取消涉企保证金项目资金，以及逾期未返或超额收取的保证金资金的清退返还力度，坚决制止各种借保证金名义占用企业资金的行为。
湖北省在提高消防服务效能方面，有哪些具体措施？,湖北省在提高消防服务效能方面，社会消防从业人员符合规定，可免费报名参加消防行业特有工种职业技能鉴定。同时，将进一步优化消防审批和备案受理程序，自受理之日起15日内出具书面审核意见。需要组织专家评审的，专家评审时间不计算在审核时间内。减少消防设施检测建设工程范围，已通过消防验收的建筑内的装修项目，在未增设、改动消防设施的前提下，不需另行进行消防设施检测。建设单位在申请消防验收材料中，对具有防火性要求的建筑构件、建筑材料、装修材料（包含阻燃PVC管），只需提供出厂检验合格证明或具有法定资质的检验机构检验合格证明（依法实行强制性认证的消防产品，新研制的尚未制定国家标准、行业标准的消防产品除外）。
请描述一下湖北省“多证合一”改革的工作流程？,"湖北省“多证合一”改革的工作流程主要包括以下步骤：
1. **聚焦重点领域，精简环节流程：**  首先，针对不动产登记、工程建设项目审批、企业开办等重点领域，进行减环节、减流程、减材料、减时限，以实现审批和服务提速增效。
2. **巩固完善“多证合一”：**  在此基础上，巩固和完善已经实施的“多证合一”改革，确保其有效运行和覆盖范围。
3. **推进“住所信息申报+负面清单”、名称自主申报试点：**  为了进一步简化注册流程，推进“住所信息申报+负面清单”模式，以及名称自主申报试点，方便企业注册。
4. **构建“互联网+放管服”改革体系：**  建立健全“一网覆盖、一次办好”的“互联网+放管服”改革体系，打造线上线下深度融合、功能互补的一体化政务服务模式，提升服务效率和便利性。"
湖北省在降低企业用工成本方面，继续执行哪些优惠政策？,湖北省在降低企业用工成本方面，继续执行“五险一金”优惠政策。按国家规定，继续落实阶段性降低社会保险费率相关政策。同时，对符合稳岗补贴条件未裁员的企业，稳岗补贴比例继续按企业及其职工上年度实际缴纳失业保险费总额的70%执行，对有裁员但裁员率低于统筹地区城镇登记失业率的企业按50%执行。针对困难企业，继续实施适当降低住房公积金缴存比例政策。
作为一家小型企业的负责人，我想了解湖北省出台了哪些政策来帮助我们降低运营成本？,"为了降低小型企业的运营成本，湖北省出台了以下政策：
1. **继续推进减税降费：** 确保您能够及时享受国家和省里出台的减税降费优惠政策，相关部门会简化申请流程并提供政策宣传辅导。这包括阶段性减免社会保险费和降低社保费率政策，以及对受疫情影响严重的中小企业依法核准延期缴纳税款。此外，对小微企业在2020年1月1日至2021年12月31日的工会经费，实行全额返还支持政策。
2. **进一步降低用能用网成本：** 持续推进降低企业用电价格，确保除高耗能以外的大工业和一般工商业电价全年降低5%。相关部门会加强转供电价格监管，确保您能及时足额享受降价红利。
3. **深入推进物流降成本：**  通过规范物流行业收费，优化城市配送车辆通行管理，鼓励发展夜间配送和共同配送等集约化配送模式，来降低物流成本。"
我是一家民营科技企业的负责人，想了解湖北省在支持企业科技创新方面有什么具体措施？,"为了支持民营科技企业的创新发展，湖北省采取了以下措施：
1. **支持参与国家重大科研攻关项目：** 鼓励民营企业参与国家各类创新平台建设，如国家产业创新中心、国家制造业创新中心等，并支持民营企业承担国家重大科技战略任务。相关部门会加快推进对民营企业的国家企业技术中心认定工作。
2. **增加普惠型科技创新投入：** 各地会加大科技创新资金投入，通过银企合作、政府引导基金、科技和知识产权保险补助、科技信贷和知识产权质押融资风险补偿等方式，为您提供普惠型的科技创新资金支持。
3. **畅通国家科研资源开放渠道：** 民营企业可以进一步利用国家重大科研基础设施和大型科研仪器，共享科研资源。鼓励社会资本组建专业化的科学仪器设备服务机构，参与国家科研设施与仪器的管理与运营。
4. **完善知识产权运营服务体系：**  发展技术交易知识产权运营机构，培育技术经理人，规范探索知识产权证券化，推动知识产权融资产品创新。国家知识产权公共服务平台可以为您的企业提供一站式检索、保护和咨询等服务，助力创新发展。
5. **促进民营企业数字化转型：**  实施企业“上云用数赋智”行动和中小企业数字化赋能专项行动，布局数字化转型促进中心，集聚数字化服务商，开发符合中小企业需求的数字化平台和系统解决方案。结合行业特点，为您提供建云、上云、用云的融资支持。同时，支持优势企业提高工业互联网应用水平，带动发展网络协同制造、大规模个性化定制等新业态新模式。"
湖北省各部门在支持民营企业发展方面，具体需要承担哪些责任？,"湖北省各地、各部门在支持民营企业发展方面，需要承担以下具体责任：
1. **提高政治站位，坚持问题导向：** 各地、各部门要从政治高度认识支持民营企业发展的重要性，以解决民营企业实际遇到的问题为导向，结合自身职责，狠抓各项惠企政策落实落地。
2. **对标对表省政策举措：** 要对照省委、省政府出台的政策举措和有关要求，确保政策执行方向一致，力度到位。
3. **科学统筹、分类推进已出台政策：** 对于已经出台的政策措施，要进行科学统筹和分类，制定推进计划，以钉钉子精神狠抓落实落地，确保实效。
4. **及时制定新政策举措的配套政策和操作措施：** 对于新提出的政策举措，要及时制定详细的配套政策和具体操作措施，明确贯彻落实的实施路径、责任主体、时间节点，确保各项政策能够有效落地见效。
5. **加强协调配合和政策指导：** 省级发改、科技、经信、财政、人社以及人行武汉分行等部门要加强协调配合，形成合力，并加强政策指导，及时研究解决民营企业发展中遇到的问题，提供支持和帮助。"
